STATE_CODE_2021,STATE_NAME_2021,CHANGE_FLAG_2021,CHANGE_LABEL_2021,AUS_CODE_2021,AUS_NAME_2021,AREA_ALBERS_SQKM,ASGS_LOCI_URI_2021
1,New South Wales,0,No change,AUS,Australia,800797.6591,http://linked.data.gov.au/dataset/asgsed3/STE/1
2,Victoria,0,No change,AUS,Australia,227496.2479,http://linked.data.gov.au/dataset/asgsed3/STE/2
3,Queensland,0,No change,AUS,Australia,1730171.2208,http://linked.data.gov.au/dataset/asgsed3/STE/3
4,South Australia,0,No change,AUS,Australia,984231.4202,http://linked.data.gov.au/dataset/asgsed3/STE/4
5,Western Australia,0,No change,AUS,Australia,2526632.4825,http://linked.data.gov.au/dataset/asgsed3/STE/5
6,Tasmania,0,No change,AUS,Australia,68017.5393,http://linked.data.gov.au/dataset/asgsed3/STE/6
7,Northern Territory,0,No change,AUS,Australia,1348134.4931,http://linked.data.gov.au/dataset/asgsed3/STE/7
8,Australian Capital Territory,0,No change,AUS,Australia,2358.133,http://linked.data.gov.au/dataset/asgsed3/STE/8
9,Other Territories,0,No change,AUS,Australia,255.742,http://linked.data.gov.au/dataset/asgsed3/STE/9
Z,Outside Australia,1,New,ZZZ,Outside Australia,,http://linked.data.gov.au/dataset/asgsed3/STE/Z
