CED_CODE_2021,CED_NAME_2021
101,Banks
102,Barton
103,Bennelong
104,Berowra
105,Blaxland
106,Bradfield
107,Calare
108,Chifley
109,Cook
110,Cowper
111,Cunningham
112,Dobell
113,Eden-Monaro
114,Farrer
115,Fowler
116,Gilmore
117,Grayndler
118,Greenway
119,Hughes
120,Hume
121,Hunter
122,Kingsford Smith
123,Lindsay
124,Lyne
125,Macarthur
126,Mackellar
127,Macquarie
128,McMahon
129,Mitchell
130,New England
131,Newcastle
132,North Sydney
133,Page
134,Parkes
135,Parramatta
136,Paterson
137,Reid
138,Richmond
139,Riverina
140,Robertson
141,Shortland
142,Sydney
143,Warringah
144,Watson
145,Wentworth
146,Werriwa
147,Whitlam
194,No usual address (NSW)
197,Migratory - Offshore - Shipping (NSW)
201,Aston
202,Ballarat
203,Bendigo
204,Bruce
205,Calwell
206,Casey
207,Chisholm
208,Cooper
209,Corangamite
210,Corio
211,Deakin
212,Dunkley
213,Flinders
214,Fraser
215,Gellibrand
216,Gippsland
217,Goldstein
218,Gorton
219,Hawke
220,Higgins
221,Holt
222,Hotham
223,Indi
224,Isaacs
225,Jagajaga
226,Kooyong
227,La Trobe
228,Lalor
229,Macnamara
230,Mallee
231,Maribyrnong
232,McEwen
233,Melbourne
234,Menzies
235,Monash
236,Nicholls
237,Scullin
238,Wannon
239,Wills
294,No usual address (Vic.)
297,Migratory - Offshore - Shipping (Vic.)
301,Blair
302,Bonner
303,Bowman
304,Brisbane
305,Capricornia
306,Dawson
307,Dickson
308,Fadden
309,Fairfax
310,Fisher
311,Flynn
312,Forde
313,Griffith
314,Groom
315,Herbert
316,Hinkler
317,Kennedy
318,Leichhardt
319,Lilley
320,Longman
321,Maranoa
322,McPherson
323,Moncrieff
324,Moreton
325,Oxley
326,Petrie
327,Rankin
328,Ryan
329,Wide Bay
330,Wright
394,No usual address (Qld)
397,Migratory - Offshore - Shipping (Qld)
401,Adelaide
402,Barker
403,Boothby
404,Grey
405,Hindmarsh
406,Kingston
407,Makin
408,Mayo
409,Spence
410,Sturt
494,No usual address (SA)
497,Migratory - Offshore - Shipping (SA)
501,Brand
502,Burt
503,Canning
504,Cowan
505,Curtin
506,Durack
507,Forrest
508,Fremantle
509,Hasluck
510,Moore
511,O'Connor
512,Pearce
513,Perth
514,Swan
515,Tangney
594,No usual address (WA)
597,Migratory - Offshore - Shipping (WA)
601,Bass
602,Braddon
603,Clark
604,Franklin
605,Lyons
694,No usual address (Tas.)
697,Migratory - Offshore - Shipping (Tas.)
701,Lingiari
702,Solomon
794,No usual address (NT)
797,Migratory - Offshore - Shipping (NT)
801,Bean
802,Canberra
803,Fenner
894,No usual address (ACT)
897,Migratory - Offshore - Shipping (ACT)
994,No usual address (OT)
997,Migratory - Offshore - Shipping (OT)
ZZZ,Outside Australia
