RA_CODE_2021,RA_NAME_2021
10,Major Cities of Australia
11,Inner Regional Australia
12,Outer Regional Australia
13,Remote Australia
14,Very Remote Australia
15,Migratory - Offshore - Shipping (NSW)
19,No usual address (NSW)
20,Major Cities of Australia
21,Inner Regional Australia
22,Outer Regional Australia
23,Remote Australia
25,Migratory - Offshore - Shipping (Vic.)
29,No usual address (Vic.)
30,Major Cities of Australia
31,Inner Regional Australia
32,Outer Regional Australia
33,Remote Australia
34,Very Remote Australia
35,Migratory - Offshore - Shipping (Qld)
39,No usual address (Qld)
40,Major Cities of Australia
41,Inner Regional Australia
42,Outer Regional Australia
43,Remote Australia
44,Very Remote Australia
45,Migratory - Offshore - Shipping (SA)
49,No usual address (SA)
50,Major Cities of Australia
51,Inner Regional Australia
52,Outer Regional Australia
53,Remote Australia
54,Very Remote Australia
55,Migratory - Offshore - Shipping (WA)
59,No usual address (WA)
61,Inner Regional Australia
62,Outer Regional Australia
63,Remote Australia
64,Very Remote Australia
65,Migratory - Offshore - Shipping (Tas.)
69,No usual address (Tas.)
72,Outer Regional Australia
73,Remote Australia
74,Very Remote Australia
75,Migratory - Offshore - Shipping (NT)
79,No usual address (NT)
80,Major Cities of Australia
81,Inner Regional Australia
85,Migratory - Offshore - Shipping (ACT)
89,No usual address (ACT)
91,Inner Regional Australia
94,Very Remote Australia
95,Migratory - Offshore - Shipping (OT)
99,No usual address (OT)
ZZ,Outside Australia
