SUA_CODE_2021,SUA_NAME_2021
1000,Not in any Significant Urban Area (NSW)
8001,Canberra - Queanbeyan
1004,Batemans Bay
1014,Goulburn
1010,Central Coast
1005,Bathurst
1019,Lithgow
1022,Mudgee
1027,Orange
1015,Grafton
1011,Coffs Harbour
1007,Broken Hill
1012,Dubbo
1025,Newcastle - Maitland
1029,Singleton
1024,Nelson Bay
1020,Medowie
1023,Muswellbrook
1036,Wollongong
1013,Forster - Tuncurry
1017,Kempsey
1009,Camden Haven
1028,Port Macquarie
1033,Taree
1001,Albury - Wodonga
2012,Mildura - Buronga
2007,Echuca - Moama
1002,Armidale
1032,Tamworth
1021,Morisset - Cooranbong
1003,Ballina
1008,Byron Bay
1018,Lismore
3007,Gold Coast - Tweed Heads
1016,Griffith
1035,Wagga Wagga
1030,St Georges Basin - Sanctuary Point
1026,Nowra - Bomaderry
1034,Ulladulla
1006,Bowral - Mittagong
1031,Sydney
2003,Ballarat
2000,Not in any Significant Urban Area (Vic.)
2004,Bendigo
2005,Castlemaine
2008,Geelong
2019,Wangaratta
2020,Warragul - Drouin
2002,Bairnsdale
2013,Moe - Newborough
2018,Traralgon - Morwell
2015,Sale
2011,Melbourne
2009,Gisborne
2001,Bacchus Marsh
2010,Horsham
2017,Swan Hill
2016,Shepparton - Mooroopna
2014,Portland
2006,Colac
2021,Warrnambool
3002,Brisbane
3000,Not in any Significant Urban Area (Qld)
3004,Cairns
3018,Warwick
3005,Emerald
3014,Rockhampton
3019,Yeppoon
3006,Gladstone
3011,Mackay
3001,Airlie Beach - Cannonvale
3013,Mount Isa
3015,Sunshine Coast
3016,Toowoomba
3017,Townsville
3003,Bundaberg
3010,Kingaroy
3008,Gympie
3009,Hervey Bay
3012,Maryborough
4001,Adelaide
4000,Not in any Significant Urban Area (SA)
4006,Port Pirie
4005,Port Lincoln
4008,Whyalla
4004,Port Augusta
4007,Victor Harbor - Goolwa
4002,Mount Gambier
4003,Murray Bridge
5000,Not in any Significant Urban Area (WA)
5004,Busselton
5003,Bunbury
5009,Perth
5001,Albany
5002,Broome
5010,Port Hedland
5008,Karratha
5005,Esperance
5007,Kalgoorlie - Boulder
5006,Geraldton
6003,Hobart
6000,Not in any Significant Urban Area (Tas.)
6004,Launceston
6001,Burnie - Somerset
6005,Ulverstone
6002,Devonport
7002,Darwin
7000,Not in any Significant Urban Area (NT)
7001,Alice Springs
8000,Not in any Significant Urban Area (ACT)
9000,Not in any Significant Urban Area (OT)
ZZZZ,Outside Australia
