TR_CODE_2021,TR_NAME_2021
1R010,South Coast
1R040,Sydney
1R050,Snowy Mountains
1R060,Capital Country
1R070,The Murray
1R080,Riverina
1R090,Central NSW
1R100,Hunter
1R140,New England North West
1R150,Outback NSW
1R180,Central Coast
1R190,Blue Mountains
1R200,North Coast NSW
2R010,Melbourne
2R020,Wimmera
2R030,Mallee
2R040,Great Ocean Road
2R050,Western Grampians
2R060,Bendigo Loddon
2R070,Peninsula
2R080,Central Murray
2R090,Goulburn
2R100,High Country
2R110,Lakes
2R120,Gippsland
2R140,Geelong and the Bellarine
2R150,Macedon
2R160,Spa Country
2R170,Ballarat
2R180,Central Highlands
2R200,Murray East
2R210,Phillip Island
2R220,Yarra Valley and the Dandenong Ranges
3R010,Gold Coast
3R020,Brisbane
3R030,Sunshine Coast
3R040,Fraser Coast
3R060,Southern Queensland Country
3R070,Bundaberg
3R090,Mackay
3R100,Whitsundays
3R110,Townsville
3R120,Tropical North Queensland
3R140,Outback Queensland
3R170,Capricorn
3R180,Gladstone
4R010,Limestone Coast
4R020,"Murray River, Lakes and Coorong"
4R030,Fleurieu Peninsula
4R040,Adelaide
4R050,Barossa
4R060,Riverland
4R070,Flinders Ranges and Outback
4R080,Clare Valley
4R110,Eyre Peninsula
4R120,Yorke Peninsula
4R130,Kangaroo Island
4R140,Adelaide Hills
5R120,Destination Perth
5R130,Australia's Golden Outback
5R140,Australia's South West
5R160,Australia's North West
5R170,Australia's Coral Coast
6R030,East Coast
6R060,North West
6R080,West Coast
6R100,Hobart and the South
6R110,Launceston and the North
7R010,Darwin
7R050,Barkly
7R070,Alice Springs
7R100,Litchfield Kakadu Arnhem
7R110,Katherine Daly
7R140,MacDonnell
7R150,Lasseter
8R990,Canberra
,
